Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
14000,23,1,1,1,1,0,0,4.3,66.5,0,0,1,1,0,0,0,1
14000,27,0,1,1,1,0,0,4.3,66.5,1,0,1,1,1,0,0,1
14000,28,0,1,1,1,0,1,4.6,18,0,0,1,0,0,0,0,1
14000,24,1,1,1,1,0,0,4.3,66.5,1,1,0,0,1,0,0,1
14000,20,1,1,1,1,0,1,4.2,85,0,1,1,1,0,0,0,1
14500,21,1,1,1,1,0,1,4.5,251,1,1,1,1,0,0,0,1
14800,28,1,1,1,1,0,0,4.3,66.5,1,1,1,0,0,0,0,1
15000,24,1,1,1,1,0,1,4.2,1574,1,0,1,1,1,0,0,1
15000,26,1,1,1,1,0,1,4.3,66.5,1,0,0,0,0,0,0,1
15000,26,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1
15000,23,0,1,1,1,0,0,4.3,66.5,0,0,0,1,1,0,0,1
15000,30,1,1,1,1,0,1,4.5,75,1,1,1,1,0,0,0,1
15000,24,0,1,1,1,0,1,4.3,66.5,1,0,1,0,0,0,0,1
15000,23,0,1,1,1,0,0,4.3,66.5,0,0,0,1,0,0,0,1
15000,26,1,1,1,1,0,1,4.4,126,0,1,0,0,0,0,0,1
15000,26,1,1,1,1,0,0,4,3,0,0,0,0,1,0,0,1
15000,28,0,1,1,1,0,0,4.3,66.5,1,1,0,0,1,0,0,1
15000,25,0,1,1,1,0,1,2.2,9,0,0,0,0,1,0,0,1
15000,27,0,1,1,1,0,1,4.3,375,0,1,0,1,0,0,0,1
15000,28,0,1,1,1,0,1,4.2,85,0,0,0,1,1,0,0,1
15000,28,0,1,1,1,0,0,4.3,66.5,0,0,1,0,0,0,0,1
15000,22,0,1,1,1,0,1,4.2,301,1,0,0,1,1,0,0,1
15000,20,0,1,1,1,0,1,4.1,254,1,0,0,1,0,0,0,1
15000,23,1,1,1,1,0,0,4,136,1,0,0,0,0,0,0,1
15000,30,1,1,1,1,0,0,4.3,66.5,0,0,1,0,1,0,0,1
15000,21,0,1,1,1,0,1,4.3,66.5,1,1,1,0,1,0,0,1
15000,26,0,1,1,1,0,0,4.5,152,0,0,1,1,1,0,0,1
15000,26,1,1,1,1,0,0,4,3,1,0,1,1,1,0,0,1
15000,25,1,1,1,1,0,1,4,23,1,0,0,0,0,0,0,1
15000,21,1,1,1,1,0,1,4.3,66.5,1,1,1,1,1,0,0,1
