Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished,price_per_sqm,amenities_count,size_category_Large,size_category_Medium,size_category_Small,size_category_Studio,occupancy_demand_High Demand,occupancy_demand_Low Demand,occupancy_demand_Medium Demand
5000.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,416.6666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5000.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,4.6,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,263.1578947368421,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5000.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,4.6,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,208.33333333333334,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5500.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,4.7,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,220.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5500.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,4.3,66.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,366.6666666666667,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6000.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,4.3,66.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,400.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6300.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,4.4,7658.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,484.61538461538464,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7000.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,4.3,66.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,304.3478260869565,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7000.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,4.3,66.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,350.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7500.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,4.6,12990.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,375.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7500.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,4.3,66.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,340.90909090909093,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8000.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,4.3,66.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,320.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8000.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,4.3,66.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,500.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8000.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,4.7,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,380.95238095238096,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8500.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,4.3,66.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,404.76190476190476,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8500.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0,4.3,66.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,404.76190476190476,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
